 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
1,1,3.45700,570.01054,1,1,1,1,568,6,572,12,878.00000
2,1,4.66895,1461.83746,1,1,1,1,1457,8,1466,39,10793.00000
3,1,5.46792,1425.01522,1,1,1,3,1423,8,1427,12,796.33333
4,1,6.20644,1961.93108,1,1,1,3,1959,9,1965,23,3691.33333
5,1,7.47310,1044.05126,1,1,1,4,1041,11,1047,26,5507.61538
6,1,7.00672,1314.21025,1,1,1,4,1311,10,1317,23,3699.50000
7,1,15.19925,1065.95450,1,1,1,12,1063,18,1069,23,3532.41667
8,1,13.98808,1913.47237,1,1,1,12,1911,16,1916,12,719.33333
9,1,22.30579,1720.03007,1,1,1,19,1717,26,1723,28,8779.46154
10,1,21.38755,1794.40712,1,1,1,19,1792,24,1797,15,1287.60000
11,1,22.49447,1585.98840,1,1,1,20,1584,25,1588,12,748.33333
12,1,22.83341,1805.03106,1,1,1,20,1802,26,1808,23,4691.33333
13,1,25.63620,364.35296,1,1,1,23,362,28,367,15,1187.00000
14,1,25.45851,781.49712,1,1,1,23,779,28,784,16,1857.40000
15,1,25.81261,1451.34757,1,1,1,23,1449,29,1454,18,1925.63636
16,1,29.49735,581.07081,1,1,1,26,578,33,584,26,5013.84615
17,1,29.03234,801.79056,1,1,1,26,799,32,805,23,3430.45833
18,1,29.83066,1843.22548,1,1,1,26,1840,34,1847,32,4850.40000
19,1,30.10545,209.63679,1,1,1,27,206,33,213,27,4357.07692
20,1,32.44880,507.91626,1,1,1,29,505,36,511,27,7904.53846
21,1,32.50012,358.02587,1,1,1,30,356,35,360,12,607.00000
22,1,33.48688,747.03393,1,1,1,30,744,37,750,26,6571.38462
23,1,33.06162,1318.77395,1,1,1,30,1316,36,1322,23,3596.66667
24,1,35.12677,1947.09796,1,1,1,32,1944,38,1950,22,3111.62500
25,1,35.01696,1276.98040,1,1,1,33,1275,37,1279,9,382.75000
26,1,36.01198,1183.98978,1,1,1,34,1182,38,1186,9,457.62500
27,1,37.51422,1933.04341,1,1,1,34,1930,41,1936,26,5847.84615
28,1,40.70728,857.00861,1,1,1,38,854,43,860,18,2044.81818
29,1,40.52229,1158.96500,1,1,1,38,1157,43,1161,12,819.00000
30,1,42.49797,1214.04329,1,1,1,39,1211,46,1217,26,4348.00000
31,1,43.51022,370.98623,1,1,1,40,367,47,375,34,12941.20000
32,1,44.03966,240.53070,1,1,1,41,238,47,243,18,1865.27273
33,1,46.04469,1269.53340,1,1,1,43,1266,49,1273,26,4950.00000
34,1,44.98955,1761.02055,1,1,1,43,1759,47,1763,9,451.43750
35,1,47.62039,594.39177,1,1,1,45,592,50,597,15,1551.20000
36,1,49.01329,1824.52055,1,1,1,46,1821,52,1828,26,4339.15385
37,1,51.02747,1530.26969,1,1,1,47,1527,55,1534,34,12445.00000
38,1,52.02398,1435.30792,1,1,1,49,1433,55,1438,18,1712.00000
39,1,52.97126,1493.79646,1,1,1,50,1491,56,1497,23,3728.08333
40,1,54.01177,671.95605,1,1,1,51,669,57,675,25,5650.00000
41,1,55.98046,1155.97885,1,1,1,53,1153,59,1159,21,2569.33333
42,1,55.44740,1586.63716,1,1,1,53,1584,58,1589,15,1038.80000
43,1,57.52224,1324.50554,1,1,1,55,1322,60,1327,16,2198.20000
44,1,57.98705,809.99755,1,1,1,56,808,60,812,9,459.06250
45,1,59.61424,2014.37285,1,1,1,57,2012,62,2017,15,1537.20000
46,1,62.02952,548.97466,1,1,1,58,546,66,552,31,7133.00000
47,1,61.51792,1602.95183,1,1,1,58,1600,65,1606,26,5221.30769
48,1,60.00370,2020.48224,1,1,1,58,2018,62,2023,12,823.33333
49,1,62.42659,490.86915,1,1,1,59,488,66,494,27,5670.15385
50,1,62.55610,632.40825,1,1,1,60,630,65,635,16,1490.20000
51,1,62.02551,892.08408,1,1,1,60,890,64,894,9,498.68750
52,1,63.00222,1231.00148,1,1,1,61,1229,65,1233,9,518.43750
53,1,66.51777,484.02744,1,1,1,64,482,69,486,12,1072.66667
54,1,70.53398,498.96431,1,1,1,67,496,74,502,26,6372.30769
55,1,70.01771,577.02985,1,1,1,68,575,72,579,9,568.93750
56,1,69.97700,933.04746,1,1,1,68,931,72,935,9,435.56250
57,1,70.42459,1180.87295,1,1,1,68,1178,73,1184,19,2098.54545
58,1,72.61122,1125.58783,1,1,1,70,1123,75,1128,15,1478.20000
59,1,75.05241,639.00676,1,1,1,72,636,78,642,21,3068.83333
60,1,76.08211,1759.61699,1,1,1,73,1756,79,1763,27,6339.53846
61,1,75.99807,918.98805,1,1,1,74,917,78,921,9,217.31250
62,1,78.99593,1301.47985,1,1,1,76,1298,82,1305,26,4478.46154
63,1,79.35666,1867.36259,1,1,1,77,1865,82,1870,15,1150.00000
64,1,82.06533,322.52128,1,1,1,79,320,85,325,20,2765.09091
65,1,83.39486,778.44942,1,1,1,80,775,87,782,31,7819.00000
66,1,85.99055,746.98439,1,1,1,83,744,89,750,21,2223.04167
67,1,86.53449,2062.00706,1,1,1,84,2060,89,2064,12,796.66667
68,1,87.43941,1561.48456,1,1,1,85,1559,90,1564,16,1530.80000
69,1,88.92193,1639.43067,1,1,1,86,1636,92,1643,27,3433.30769
70,1,88.98760,1951.00985,1,1,1,87,1949,91,1953,9,420.12500
71,1,92.50420,738.03702,1,1,1,89,735,96,741,26,4687.38462
72,1,92.50915,1177.01794,1,1,1,89,1174,96,1180,26,4950.61538
73,1,92.00795,1585.97615,1,1,1,90,1584,94,1588,9,406.62500
