 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
1,1,6.64520,2154.61425,1,1,1,4,2152,9,2157,15,2238.80000
2,1,13.01114,1462.32595,1,1,1,10,1460,16,1465,18,4370.00000
3,1,14.62680,2142.60655,1,1,1,12,2140,17,2145,15,2305.40000
4,1,37.49056,593.52010,1,1,1,35,591,40,596,16,3080.00000
5,1,41.37524,603.38032,1,1,1,39,601,44,606,15,2925.20000
6,1,41.98507,624.46959,1,1,1,40,622,44,627,12,1686.00000
7,1,63.00810,631.00180,1,1,1,61,629,65,633,9,3118.31250
8,1,75.96153,1872.04098,1,1,1,73,1869,79,1875,21,5153.79167
9,1,88.50852,753.99540,1,1,1,86,752,91,756,12,1969.33333
10,1,90.57362,2064.12757,1,1,1,88,2061,93,2067,19,5382.72727
11,1,100.47877,1159.97707,1,1,1,98,1158,103,1162,12,1892.00000
12,1,104.01518,1316.99845,1,1,1,102,1315,106,1319,9,999.31250
13,1,111.02515,166.01548,1,1,1,109,164,113,168,9,904.81250
14,1,130.53050,416.46212,1,1,1,128,414,133,419,16,3265.20000
15,1,137.06252,1199.01185,1,1,1,134,1196,140,1202,21,5998.41667
16,1,142.26759,668.43638,1,1,1,139,665,145,672,27,9300.07692
17,1,172.07006,1909.47853,1,1,1,169,1906,175,1913,26,10931.84615
18,1,187.08822,1994.57565,1,1,1,184,1992,190,1997,19,4926.27273
19,1,191.52771,1692.96518,1,1,1,188,1690,195,1696,26,10759.00000
20,1,201.00552,240.99816,1,1,1,199,239,203,243,9,2155.93750
21,1,214.88883,508.43672,1,1,1,212,505,218,512,25,7994.15385
22,1,221.52286,138.99816,1,1,1,219,137,224,141,12,1762.00000
23,1,235.31000,519.99638,1,1,1,233,517,238,523,18,3423.09091
24,1,237.37277,199.38449,1,1,1,235,197,240,202,15,2562.20000
25,1,238.78148,875.97291,1,1,1,236,873,242,879,23,7265.16667
26,1,241.04439,1733.99442,1,1,1,238,1731,244,1737,21,6459.62500
27,1,240.60653,2082.63252,1,1,1,238,2080,243,2085,15,3325.40000
28,1,243.37863,386.60521,1,1,1,241,384,246,389,15,3529.20000
29,1,243.52362,573.53237,1,1,1,241,571,246,576,16,3948.40000
30,1,260.51374,744.52534,1,1,1,258,742,263,747,16,3556.60000
31,1,261.63989,386.40251,1,1,1,259,384,264,389,15,2630.80000
32,1,270.91922,496.88251,1,1,1,268,494,274,500,22,5866.37500
33,1,276.14640,1620.85103,1,1,1,273,1618,279,1624,22,7797.41667
34,1,277.60486,467.61929,1,1,1,275,465,280,470,15,2724.60000
35,1,278.45348,2013.46787,1,1,1,276,2011,281,2016,16,3328.40000
36,1,281.46830,1712.00549,1,1,1,279,1710,284,1714,12,1813.66667
37,1,293.63355,1356.37933,1,1,1,291,1354,296,1359,15,3122.20000
38,1,296.98103,1497.33418,1,1,1,294,1495,300,1500,18,4193.09091
39,1,314.00812,1914.99241,1,1,1,311,1912,317,1918,21,5320.04167
40,1,328.52288,1255.49887,1,1,1,326,1253,331,1258,16,3526.20000
41,1,355.53486,787.52070,1,1,1,353,785,358,790,16,4360.00000
42,1,356.01770,53.00546,1,1,1,354,51,358,55,9,854.37500
43,1,357.53358,20.97496,1,1,1,355,19,360,23,12,1741.33333
44,1,368.00643,1920.99357,1,1,1,365,1918,371,1924,21,6218.16667
45,1,379.48422,838.47185,1,1,1,377,836,382,841,16,3261.00000
46,1,381.00856,326.00308,1,1,1,378,323,384,329,21,4225.45833
47,1,386.03907,1611.99211,1,1,1,383,1609,389,1615,21,5955.66667
48,1,387.12390,526.43525,1,1,1,384,524,390,529,19,5037.36364
49,1,389.41985,1452.88406,1,1,1,387,1450,392,1456,19,4909.63636
50,1,404.48018,2040.51202,1,1,1,402,2038,407,2043,16,4209.40000
51,1,415.50407,526.49103,1,1,1,413,524,418,529,16,3693.60000
52,1,417.98238,72.03186,1,1,1,416,70,420,74,9,1155.00000
53,1,424.98897,168.66775,1,1,1,422,166,428,171,18,3958.27273
54,1,424.60721,457.60677,1,1,1,422,455,427,460,15,2594.00000
55,1,426.51712,210.49420,1,1,1,424,208,429,213,16,3141.60000
56,1,427.60012,940.36140,1,1,1,425,938,430,943,15,3392.60000
57,1,430.91465,1865.34918,1,1,1,428,1862,434,1869,27,12371.61538
