,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,367.98402723225973,1920.981408745745,1.0,1.0,1.0,366.0,1919.0,370.0,1923.0,9.0,1875.5625
1,1.0,513.5970958440527,1668.3802855810902,1.0,1.0,1.0,510.0,1665.0,517.0,1672.0,33.0,40555.42857142857
2,1.0,847.0227749475577,803.4666466886425,1.0,1.0,1.0,844.0,800.0,850.0,807.0,26.0,5925.076923076922
3,1.0,1065.9837612464341,1114.0136054421769,1.0,1.0,1.0,1064.0,1112.0,1068.0,1116.0,9.0,1314.75
4,1.0,1356.7401418050124,185.29142823729728,1.0,1.0,1.0,1348.0,176.0,1366.0,194.0,214.0,4482697.555555556
5,1.0,1505.0,2063.975461529641,1.0,1.0,1.0,1502.0,2061.0,1508.0,2067.0,21.0,3481.208333333334
6,1.0,1600.0100089365505,948.0173369079536,1.0,1.0,1.0,1598.0,946.0,1602.0,950.0,9.0,1655.8125
7,1.0,1642.4603772785977,1410.3939195054306,1.0,1.0,1.0,1639.0,1407.0,1646.0,1414.0,33.0,29401.142857142855
8,1.0,2237.9925708699902,162.01505376344085,1.0,1.0,1.0,2236.0,160.0,2240.0,164.0,9.0,1301.25
9,1.0,2366.0390353637904,590.9303927637123,1.0,1.0,1.0,2360.0,585.0,2372.0,597.0,104.0,1382510.8541666667
