 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
1,1,367.98403,1920.98141,1,1,1,366,1919,370,1923,9,1875.56250
2,1,513.59710,1668.38029,1,1,1,510,1665,517,1672,33,40555.42857
3,1,847.02277,803.46665,1,1,1,844,800,850,807,26,5925.07692
4,1,1065.98376,1114.01361,1,1,1,1064,1112,1068,1116,9,1314.75000
5,1,1356.74014,185.29143,1,1,1,1348,176,1366,194,214,4482697.55556
6,1,1505.00000,2063.97546,1,1,1,1502,2061,1508,2067,21,3481.20833
7,1,1600.01001,948.01734,1,1,1,1598,946,1602,950,9,1655.81250
8,1,1642.46038,1410.39392,1,1,1,1639,1407,1646,1414,33,29401.14286
9,1,2237.99257,162.01505,1,1,1,2236,160,2240,164,9,1301.25000
10,1,2366.03904,590.93039,1,1,1,2360,585,2372,597,104,1382510.85417
