,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,6.376402956474131,1091.3845469477142,1.0,1.0,1.0,3.0,1088.0,10.0,1095.0,31.0,21685.714285714283
1,1.0,10.98265366589452,1739.987448149545,1.0,1.0,1.0,8.0,1737.0,14.0,1743.0,21.0,7335.416666666664
2,1.0,17.147290993900253,660.8557140294223,1.0,1.0,1.0,14.0,658.0,20.0,664.0,22.0,8542.166666666664
3,1.0,20.537628257838474,387.0612777519574,1.0,1.0,1.0,17.0,384.0,24.0,390.0,26.0,11529.538461538461
4,1.0,27.618296018170863,906.3707180271635,1.0,1.0,1.0,24.0,903.0,31.0,910.0,30.0,22477.428571428572
5,1.0,27.525832695918226,744.4833460816355,1.0,1.0,1.0,25.0,742.0,30.0,747.0,16.0,3429.0
6,1.0,29.837483586009313,1096.0710994389399,1.0,1.0,1.0,26.0,1093.0,34.0,1099.0,32.0,17402.0
7,1.0,28.936717428087988,1274.4930142615422,1.0,1.0,1.0,26.0,1272.0,32.0,1277.0,20.0,6886.818181818184
8,1.0,36.38124716895667,677.3727162917107,1.0,1.0,1.0,34.0,675.0,39.0,680.0,15.0,3469.399999999998
9,1.0,38.95271851182616,823.6788519007575,1.0,1.0,1.0,35.0,820.0,43.0,827.0,33.0,21787.800000000003
10,1.0,48.031915389274566,282.01635372501516,1.0,1.0,1.0,45.0,279.0,51.0,285.0,23.0,7558.958333333336
11,1.0,47.51407875943685,371.9775556008978,1.0,1.0,1.0,45.0,370.0,50.0,374.0,12.0,2291.333333333332
12,1.0,58.85958600841266,1826.0970223599734,1.0,1.0,1.0,56.0,1823.0,62.0,1829.0,22.0,6471.75
13,1.0,60.51298475786224,1140.9621454755934,1.0,1.0,1.0,57.0,1138.0,64.0,1144.0,26.0,9660.230769230766
14,1.0,62.99033360839326,630.9824354591536,1.0,1.0,1.0,61.0,629.0,65.0,633.0,9.0,3634.8125
15,1.0,64.47521453811207,1524.9761736496719,1.0,1.0,1.0,62.0,1523.0,67.0,1527.0,12.0,2247.666666666668
16,1.0,65.5125925925926,774.527138047138,1.0,1.0,1.0,63.0,772.0,68.0,777.0,16.0,3814.7999999999993
17,1.0,65.98091449289959,1267.4998489273844,1.0,1.0,1.0,63.0,1265.0,69.0,1270.0,20.0,6577.090909090912
18,1.0,72.96747395999745,475.3223848169212,1.0,1.0,1.0,70.0,473.0,76.0,478.0,18.0,4488.63636363636
19,1.0,73.03193951550686,192.99012498071286,1.0,1.0,1.0,71.0,191.0,75.0,195.0,9.0,1216.5625
20,1.0,77.54066947812335,541.4532156035846,1.0,1.0,1.0,74.0,538.0,81.0,545.0,31.0,17561.857142857145
21,1.0,76.76678457984407,1098.0475382616228,1.0,1.0,1.0,74.0,1095.0,80.0,1101.0,23.0,11306.166666666664
22,1.0,78.11913478937845,789.1177881580609,1.0,1.0,1.0,75.0,786.0,81.0,792.0,22.0,7978.083333333336
23,1.0,79.00776754890678,964.464135021097,1.0,1.0,1.0,77.0,962.0,81.0,967.0,12.0,1890.0
