,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,75.01861774803811,558.3050833800448,1.0,1.0,1.0,68.0,552.0,81.0,564.0,106.0,792139.52
1,1.0,173.89774075125578,1350.8788993628837,1.0,1.0,1.0,167.0,1345.0,180.0,1357.0,103.0,1127526.72
2,1.0,344.6243071604294,1794.824445541971,1.0,1.0,1.0,338.0,1789.0,351.0,1801.0,110.0,1511350.72
3,1.0,367.97068557919624,1920.9782505910166,1.0,1.0,1.0,366.0,1919.0,370.0,1923.0,9.0,1892.8125
4,1.0,446.7780659414161,636.3727550301795,1.0,1.0,1.0,440.0,630.0,453.0,642.0,107.0,871454.76
5,1.0,538.807199519858,1002.2825694118261,1.0,1.0,1.0,532.0,996.0,545.0,1008.0,108.0,1051967.3599999999
6,1.0,709.0308168981679,2121.1329088830526,1.0,1.0,1.0,703.0,2115.0,715.0,2127.0,104.0,1300641.0833333333
7,1.0,1065.9750639386189,1114.0108695652175,1.0,1.0,1.0,1064.0,1112.0,1068.0,1116.0,9.0,1463.8125
8,1.0,1221.143210861659,19.958002360416643,1.0,1.0,1.0,1215.0,14.0,1227.0,26.0,105.0,1006773.9166666667
9,1.0,1453.9982192826253,1680.006614093106,1.0,1.0,1.0,1452.0,1678.0,1456.0,1682.0,9.0,406.9375
10,1.0,1504.9782369751595,2063.973730490218,1.0,1.0,1.0,1502.0,2061.0,1508.0,2067.0,21.0,3362.083333333332
11,1.0,1650.348849978876,1108.5074528357904,1.0,1.0,1.0,1643.0,1102.0,1657.0,1115.0,135.0,1835488.8888888888
12,1.0,2013.3764002175096,211.39967373572594,1.0,1.0,1.0,2011.0,209.0,2016.0,214.0,15.0,1378.0
13,1.0,2237.968190854871,161.96838966202785,1.0,1.0,1.0,2236.0,160.0,2240.0,164.0,9.0,1288.25
