,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,8.329545454545455,1681.423761872456,1.0,1.0,1.0,5.0,1678.0,12.0,1685.0,30.0,4557.285714285714
1,1.0,17.027705466716252,408.00502045370024,1.0,1.0,1.0,14.0,406.0,20.0,410.0,15.0,993.5
2,1.0,26.867565176666492,1706.1384191080813,1.0,1.0,1.0,23.0,1702.0,31.0,1710.0,39.0,9843.34375
3,1.0,28.385713460093626,1815.3419638213027,1.0,1.0,1.0,25.0,1812.0,32.0,1819.0,33.0,7511.4285714285725
4,1.0,36.219910721805775,1231.2785872708387,1.0,1.0,1.0,32.0,1227.0,40.0,1235.0,43.0,19927.28125
5,1.0,42.03802497162316,842.9772985244041,1.0,1.0,1.0,39.0,840.0,45.0,846.0,21.0,1857.708333333334
6,1.0,47.16094338482608,1520.8392378804053,1.0,1.0,1.0,42.0,1517.0,53.0,1525.0,54.0,31351.105263157893
7,1.0,48.02897130860742,1411.5066480055982,1.0,1.0,1.0,45.0,1409.0,51.0,1414.0,20.0,1704.090909090908
8,1.0,52.138468258590564,892.4186080372743,1.0,1.0,1.0,49.0,890.0,55.0,895.0,19.0,1460.636363636364
9,1.0,59.324332810047096,911.810557299843,1.0,1.0,1.0,55.0,908.0,63.0,916.0,41.0,12967.28125
10,1.0,56.997668997668995,973.9654234654234,1.0,1.0,1.0,55.0,972.0,59.0,976.0,9.0,173.8125
11,1.0,58.96703799786357,162.48329009613917,1.0,1.0,1.0,56.0,160.0,62.0,165.0,18.0,1341.1818181818198
12,1.0,68.41554427025834,1284.4022963126517,1.0,1.0,1.0,66.0,1282.0,71.0,1287.0,15.0,845.1999999999989
13,1.0,72.60908547519426,1055.4113701268514,1.0,1.0,1.0,69.0,1052.0,76.0,1059.0,33.0,5867.857142857141
14,1.0,85.99073716711695,1765.9961404862988,1.0,1.0,1.0,84.0,1764.0,88.0,1768.0,9.0,311.1875
15,1.0,90.00467289719626,1161.9774143302182,1.0,1.0,1.0,88.0,1160.0,92.0,1164.0,9.0,275.8125
16,1.0,98.03483275663207,573.2275663206459,1.0,1.0,1.0,95.0,570.0,101.0,576.0,23.0,2129.708333333332
17,1.0,102.04176760504552,2076.5012947957566,1.0,1.0,1.0,98.0,2073.0,106.0,2080.0,36.0,13195.8
