,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,21.988557358053303,511.01506373117036,1.0,1.0,1.0,20.0,509.0,24.0,513.0,9.0,738.4375
1,1.0,62.98044725441986,630.9919213206884,1.0,1.0,1.0,61.0,629.0,65.0,633.0,9.0,3882.375
2,1.0,170.01289779896257,1486.0319641104725,1.0,1.0,1.0,168.0,1484.0,172.0,1488.0,9.0,893.1875
3,1.0,200.99910060388027,241.00218424771938,1.0,1.0,1.0,199.0,239.0,203.0,243.0,9.0,3157.0
4,1.0,286.6211533897635,1678.3893679297523,1.0,1.0,1.0,284.0,1676.0,289.0,1681.0,15.0,1954.7999999999993
5,1.0,292.10999004027195,750.0980816697701,1.0,1.0,1.0,289.0,747.0,295.0,753.0,22.0,4808.125
6,1.0,294.5138541254995,3.998507003908137,1.0,1.0,1.0,291.0,1.0,298.0,7.0,26.0,6359.846153846156
7,1.0,293.0326435441562,1944.990819003206,1.0,1.0,1.0,291.0,1943.0,295.0,1947.0,9.0,742.0
8,1.0,351.0164098173516,1995.994434931507,1.0,1.0,1.0,349.0,1994.0,353.0,1998.0,9.0,751.875
9,1.0,368.0195302190552,1921.0112430720508,1.0,1.0,1.0,365.0,1918.0,371.0,1924.0,21.0,7313.416666666664
10,1.0,372.01336189310484,1773.5264177886577,1.0,1.0,1.0,370.0,1771.0,374.0,1776.0,12.0,1174.6666666666679
11,1.0,380.9986193184956,326.0076765891644,1.0,1.0,1.0,378.0,323.0,384.0,329.0,21.0,5395.166666666664
12,1.0,445.4967422175196,661.003007183828,1.0,1.0,1.0,443.0,658.0,448.0,664.0,18.0,2702.6363636363603
13,1.0,448.0023303987571,1803.0128171931642,1.0,1.0,1.0,446.0,1801.0,450.0,1805.0,9.0,942.5
14,1.0,472.01675242311836,1224.9883929639823,1.0,1.0,1.0,470.0,1223.0,474.0,1227.0,9.0,665.9375
15,1.0,500.97784653465345,1521.0221534653465,1.0,1.0,1.0,499.0,1519.0,503.0,1523.0,9.0,516.625
16,1.0,514.9970792259949,1503.0031641718388,1.0,1.0,1.0,513.0,1501.0,517.0,1505.0,9.0,498.9375
17,1.0,542.4047823502212,520.6217715833278,1.0,1.0,1.0,540.0,518.0,545.0,523.0,15.0,1718.2000000000007
18,1.0,562.8083867701654,1913.9901282483968,1.0,1.0,1.0,560.0,1911.0,566.0,1917.0,23.0,5052.208333333336
19,1.0,573.5021567993098,253.49520112153564,1.0,1.0,1.0,570.0,250.0,577.0,257.0,32.0,9941.142857142855
20,1.0,580.4915305322804,1719.5219121104346,1.0,1.0,1.0,578.0,1717.0,583.0,1722.0,16.0,2511.399999999998
21,1.0,591.6526824307144,145.30903748905274,1.0,1.0,1.0,588.0,142.0,595.0,149.0,30.0,10143.142857142855
22,1.0,590.0015308525672,1526.9891662741404,1.0,1.0,1.0,588.0,1525.0,592.0,1529.0,9.0,597.875
23,1.0,598.9976481128906,1410.9946242580356,1.0,1.0,1.0,597.0,1409.0,601.0,1413.0,9.0,778.375
24,1.0,607.0209487117746,1862.9992776306285,1.0,1.0,1.0,605.0,1861.0,609.0,1865.0,9.0,704.375
25,1.0,617.0183330504159,1596.4888813444236,1.0,1.0,1.0,615.0,1594.0,619.0,1599.0,12.0,1447.3333333333358
26,1.0,637.9978281853282,1855.0,1.0,1.0,1.0,636.0,1853.0,640.0,1857.0,9.0,644.1875
27,1.0,640.9878099604084,869.9923942488018,1.0,1.0,1.0,639.0,868.0,643.0,872.0,9.0,684.625
28,1.0,660.3135471271456,1928.2617175454825,1.0,1.0,1.0,657.0,1925.0,664.0,1932.0,31.0,11457.428571428572
29,1.0,675.9975898564393,1212.005134653673,1.0,1.0,1.0,674.0,1210.0,678.0,1214.0,9.0,591.9375
30,1.0,678.9722804565572,1967.0039599347776,1.0,1.0,1.0,677.0,1965.0,681.0,1969.0,9.0,983.25
31,1.0,687.0025817555938,1976.9984017703466,1.0,1.0,1.0,685.0,1975.0,689.0,1979.0,9.0,891.25
32,1.0,695.0092573958543,930.0015093580197,1.0,1.0,1.0,693.0,928.0,697.0,932.0,9.0,758.0
33,1.0,714.0175292153589,1095.4979511306724,1.0,1.0,1.0,712.0,1093.0,716.0,1098.0,12.0,1060.6666666666642
34,1.0,717.6305157384484,704.8148625876381,1.0,1.0,1.0,714.0,701.0,721.0,708.0,32.0,12541.0
35,1.0,718.9871971884022,2145.0012551776076,1.0,1.0,1.0,717.0,2143.0,721.0,2147.0,9.0,846.875
36,1.0,724.9797758003004,255.00462267421705,1.0,1.0,1.0,723.0,253.0,727.0,257.0,9.0,610.375
37,1.0,727.0182351025725,1490.996960816238,1.0,1.0,1.0,725.0,1489.0,729.0,1493.0,9.0,824.4375
38,1.0,737.5229044472493,1157.9742371371296,1.0,1.0,1.0,735.0,1156.0,740.0,1160.0,12.0,1228.3333333333321
39,1.0,740.007032706321,1939.513133367226,1.0,1.0,1.0,738.0,1937.0,742.0,1942.0,12.0,1153.3333333333321
40,1.0,747.9912528647823,282.19010695187166,1.0,1.0,1.0,745.0,279.0,751.0,285.0,23.0,4828.833333333336
41,1.0,754.5145652412883,1293.4787842145763,1.0,1.0,1.0,752.0,1291.0,757.0,1296.0,16.0,1887.5999999999985
42,1.0,767.9999532032383,1482.9946651691703,1.0,1.0,1.0,765.0,1480.0,771.0,1486.0,21.0,4558.083333333336
43,1.0,779.9987752602572,1282.982955705246,1.0,1.0,1.0,778.0,1281.0,782.0,1285.0,9.0,639.9375
44,1.0,786.9899641577061,1338.9961085509472,1.0,1.0,1.0,785.0,1337.0,789.0,1341.0,9.0,735.75
45,1.0,793.0182186234817,1249.0233805668015,1.0,1.0,1.0,791.0,1247.0,795.0,1251.0,9.0,639.8125
46,1.0,807.0124022647614,1137.0087175339265,1.0,1.0,1.0,805.0,1135.0,809.0,1139.0,9.0,731.4375
47,1.0,811.0086524300442,1139.0028534609721,1.0,1.0,1.0,809.0,1137.0,813.0,1141.0,9.0,631.0
48,1.0,822.9960170973383,1204.014863027006,1.0,1.0,1.0,821.0,1202.0,825.0,1206.0,9.0,669.0625
49,1.0,828.4919181034483,1763.9833803050399,1.0,1.0,1.0,826.0,1761.0,831.0,1767.0,20.0,3910.727272727272
50,1.0,832.9953560371517,1202.0122871517028,1.0,1.0,1.0,831.0,1200.0,835.0,1204.0,9.0,634.0
51,1.0,848.5040641824132,1227.4728702628522,1.0,1.0,1.0,846.0,1225.0,851.0,1230.0,16.0,1926.0
52,1.0,858.0132958599071,1662.0073505566966,1.0,1.0,1.0,856.0,1660.0,860.0,1664.0,9.0,628.4375
53,1.0,875.0209676103451,1779.4913926735742,1.0,1.0,1.0,873.0,1777.0,877.0,1782.0,12.0,904.3333333333321
54,1.0,897.0025868573276,1010.9897962849855,1.0,1.0,1.0,894.0,1008.0,900.0,1014.0,21.0,4728.875
